solver,ar_mean,ar_min,ar_std,hit_rate,seconds
Greedy heuristic,0.9921187044257963,0.9538520809139448,0.015930509284034226,0.625,0.00013028750254306942
QAOA p=1,0.959423094464614,0.8096256089506003,0.05678115427507276,0.4583333333333333,6.050365287497698
QAOA p=2,0.9859828157281646,0.8687759062880528,0.030918939778874194,0.7083333333333334,8.300659612501477
QAOA p=3,0.9881796926104349,0.8251390498224367,0.03828341090597746,0.7916666666666666,11.764513941667852
