seed,qaoa_seed,solver,reps,qubits,objective,ar,seconds,hit
5,1485.0,QAOA p=1,1.0,14,47514.68552431352,0.9706431655094715,4.413343000000168,False
5,1486.0,QAOA p=1,1.0,14,48640.38711344066,0.99363930958224,5.623332199998913,False
5,1487.0,QAOA p=1,1.0,14,48951.754066463756,1.0,5.3923405000005005,True
5,1485.0,QAOA p=2,2.0,14,48640.38711344066,0.99363930958224,7.560164700000314,False
5,1486.0,QAOA p=2,2.0,14,48951.754066463756,1.0,6.1060025000006135,True
5,1487.0,QAOA p=2,2.0,14,48951.754066463756,1.0,7.9219573000009404,True
5,1485.0,QAOA p=3,3.0,14,48640.38711344066,0.99363930958224,9.29912300000069,False
5,1486.0,QAOA p=3,3.0,14,48951.754066463756,1.0,10.574873900000966,True
5,1487.0,QAOA p=3,3.0,14,48044.129899284584,0.9814588019471814,10.849533799999335,False
6,,Exact (brute force),,14,16932.100092923618,1.0,0.064053199999762,True
6,,Greedy heuristic,,14,16932.100092923618,1.0,0.00016429999959655106,True
6,1582.0,QAOA p=1,1.0,14,16932.100092923618,1.0,6.223529100001542,True
6,1583.0,QAOA p=1,1.0,14,16932.100092923618,1.0,4.177990799998952,True
6,1584.0,QAOA p=1,1.0,14,16762.901214543792,0.9900072124868586,4.1388597000004665,False
6,1582.0,QAOA p=2,2.0,14,16932.100092923618,1.0,7.652260700000625,True
6,1583.0,QAOA p=2,2.0,14,16932.100092923618,1.0,6.816618099999687,True
6,1584.0,QAOA p=2,2.0,14,16932.100092923618,1.0,7.794353699999192,True
6,1582.0,QAOA p=3,3.0,14,16932.100092923618,1.0,11.080677500000093,True
6,1583.0,QAOA p=3,3.0,14,16919.508601863454,0.9992563538491349,10.299570299999687,False
6,1584.0,QAOA p=3,3.0,14,16932.100092923618,1.0,11.553753300000608,True
7,,Exact (brute force),,14,19141.400054187132,1.0,0.062155399999028305,True
7,,Greedy heuristic,,14,18929.588272183868,0.9889343631393916,0.00018850000014936086,False
7,1679.0,QAOA p=1,1.0,14,18929.588272183868,0.9889343631393916,4.602103999999599,False
7,1680.0,QAOA p=1,1.0,14,18021.03034923831,0.9414687691716812,4.801978899999085,False
7,1681.0,QAOA p=1,1.0,14,18929.588272183868,0.9889343631393916,5.782901999999012,False
7,1679.0,QAOA p=2,2.0,14,19141.400054187132,1.0,6.244544200000746,True
7,1680.0,QAOA p=2,2.0,14,18929.588272183868,0.9889343631393916,6.370620100000451,False
7,1681.0,QAOA p=2,2.0,14,19141.400054187132,1.0,7.2288165999998455,True
7,1679.0,QAOA p=3,3.0,14,19141.400054187132,1.0,9.196881300000314,True
7,1680.0,QAOA p=3,3.0,14,18929.588272183868,0.9889343631393916,12.294732899999872,False
7,1681.0,QAOA p=3,3.0,14,19141.400054187132,1.0,10.053742600000987,True
