label,ar_mean,ar_min,ar_std,hit_rate,seconds
CVaR alpha=0.1,0.9814855386221893,0.815624841761998,0.045567513578871614,0.6666666666666666,3.931365525003154
CVaR alpha=0.25,0.9901019021249455,0.897259464477554,0.025303672670117506,0.7083333333333334,3.831246045830388
CVaR alpha=0.5,0.9789353809633433,0.7346656909871524,0.06360778720868325,0.75,3.7153273541650074
mean (default),0.9881209033585373,0.8687759062880528,0.03075982387288575,0.625,3.688877145832521
