seed,qaoa_seed,alpha,label,ar,seconds,hit
6,1582,0.25,CVaR alpha=0.25,1.0,4.277033199992729,True
6,1583,0.25,CVaR alpha=0.25,0.9987802327952827,3.4654340999841224,False
6,1584,0.25,CVaR alpha=0.25,1.0,4.839044199994532,True
6,1582,0.1,CVaR alpha=0.1,1.0,5.18744660000084,True
6,1583,0.1,CVaR alpha=0.1,1.0,4.0088951000070665,True
6,1584,0.1,CVaR alpha=0.1,1.0,5.92637420000392,True
7,1679,-1.0,mean (default),0.8687759062880528,5.85195469998871,False
7,1680,-1.0,mean (default),1.0,3.5325172999873757,True
7,1681,-1.0,mean (default),1.0,3.460101400007261,True
7,1679,0.5,CVaR alpha=0.5,1.0,4.609385100018699,True
7,1680,0.5,CVaR alpha=0.5,0.7346656909871524,3.0724915999744553,False
7,1681,0.5,CVaR alpha=0.5,1.0,3.682313500001328,True
7,1679,0.25,CVaR alpha=0.25,1.0,3.9347104000044055,True
7,1680,0.25,CVaR alpha=0.25,1.0,3.866367100010393,True
7,1681,0.25,CVaR alpha=0.25,1.0,3.2732061999849975,True
7,1679,0.1,CVaR alpha=0.1,0.815624841761998,3.418579299992416,False
7,1680,0.1,CVaR alpha=0.1,0.8687759062880528,3.5290951000060886,False
7,1681,0.1,CVaR alpha=0.1,1.0,3.2998710999963805,True
