pool_n,qubits,statevector_mb,qaoa_p1_seconds,exact_seconds
6,10,0.016384,1.87135809999927,0.0036240000008547213
8,12,0.065536,3.7176343000010093,0.013517299999875831
10,14,0.262144,4.623327299999801,0.05900339999971038
12,16,1.048576,7.157456900000398,0.2515676999992138
