seed,qubits,two_qubit_error,noiseless,ar,ar_dist,feasible_probability,seconds,feasible,hit
0,12,0.0,True,1.0,0.45806791168508654,0.55615234375,5.221587399999407,True,True
0,12,0.001,False,1.0,0.5288040078650547,0.43115234375,76.12349089999952,True,True
0,12,0.005,False,1.0,0.5204763900872221,0.55810546875,79.46876269999848,True,True
0,12,0.01,False,1.0,0.489242309816098,0.4404296875,67.79234260000158,True,True
0,12,0.02,False,0.9987397333913368,0.5168794809543763,0.51708984375,65.21586030000071,True,False
1,11,0.0,True,1.0,0.32285911646312904,0.7900390625,2.9566663000005065,True,True
1,11,0.001,False,1.0,0.3143741736115943,0.8623046875,42.61417000000074,True,True
1,11,0.005,False,1.0,0.538946775198201,0.60595703125,44.191278799999054,True,True
1,11,0.01,False,1.0,0.5518287867456936,0.5859375,45.68174960000033,True,True
1,11,0.02,False,1.0,0.4531320123766556,0.49365234375,44.145852799998465,True,True
2,12,0.0,True,1.0,0.4588489343672492,0.51708984375,3.5917788000006112,True,True
2,12,0.001,False,1.0,0.4247535804936759,0.69140625,73.48786310000105,True,True
2,12,0.005,False,1.0,0.42874641792669627,0.63232421875,69.18344350000007,True,True
2,12,0.01,False,1.0,0.5551096065659719,0.34814453125,77.37517959999968,True,True
2,12,0.02,False,1.0,0.4865973194843286,0.54150390625,69.44243889999962,True,True
3,12,0.0,True,0.9571277598815469,0.16066312884862874,0.640625,3.0208105000001524,True,False
3,12,0.001,False,1.0,0.2822261396397243,0.5576171875,80.53551719999996,True,True
3,12,0.005,False,1.0,0.26078844241946647,0.52880859375,79.26530690000072,True,True
3,12,0.01,False,1.0,0.18966383238820542,0.67919921875,87.76934710000023,True,True
3,12,0.02,False,1.0,0.18783157661123487,0.63818359375,106.76859489999879,True,True
4,12,0.0,True,0.9906129311203811,0.18024118500372105,0.70947265625,3.1325582999998005,True,False
4,12,0.001,False,1.0,0.1323765974541893,0.64794921875,76.92572159999872,True,True
4,12,0.005,False,1.0,0.21409488728428444,0.5771484375,92.94505159999972,True,True
4,12,0.01,False,0.9881994295949118,0.09829672000067122,0.85009765625,84.2318434000008,True,False
4,12,0.02,False,0.9906129311203811,0.21013489441354166,0.44091796875,80.92503539999962,True,False
5,11,0.0,True,1.0,0.363407696805698,0.4306640625,2.724333899999692,True,True
5,11,0.001,False,1.0,0.36893250995153887,0.71435546875,46.11634740000045,True,True
5,11,0.005,False,0.6959279228245514,0.3247361010277571,0.78271484375,47.46054099999856,True,False
5,11,0.01,False,1.0,0.3906108897465885,0.498046875,45.64200820000042,True,True
5,11,0.02,False,1.0,0.27876449231910994,0.90087890625,39.12642110000161,True,True
6,11,0.0,True,0.27384459801661476,0.14823606516713153,0.96728515625,2.501618199999939,True,False
6,11,0.001,False,1.0,0.14945178575768064,0.603515625,62.7216139000011,True,True
6,11,0.005,False,1.0,0.13416277847064073,0.56494140625,47.982218099999955,True,True
6,11,0.01,False,1.0,0.1520988012620228,0.54541015625,50.50404130000061,True,True
6,11,0.02,False,0.27384459801661476,0.13921794749507477,0.83349609375,54.207010699999955,True,False
7,12,0.0,True,1.0,0.26077434962341844,0.6572265625,3.0916878000007273,True,True
7,12,0.001,False,1.0,0.36395898180602027,0.56884765625,85.87047829999938,True,True
7,12,0.005,False,1.0,0.48482311460922767,0.71044921875,84.7345404000007,True,True
7,12,0.01,False,1.0,0.25306180081460483,0.6533203125,99.18898980000085,True,True
7,12,0.02,False,1.0,0.40123030723870334,0.6494140625,72.35795270000017,True,True
8,12,0.0,True,1.0,0.28642750682585066,0.4267578125,2.457941300001039,True,True
8,12,0.001,False,1.0,0.2644350121784205,0.51025390625,56.34366440000122,True,True
8,12,0.005,False,1.0,0.30900623726525617,0.3203125,82.34902379999949,True,True
8,12,0.01,False,0.762497152272447,0.3601519604100196,0.2705078125,61.35598879999998,True,False
8,12,0.02,False,0.762497152272447,0.3871903398916938,0.2275390625,58.25340189999952,True,False
9,12,0.0,True,1.0,0.35044277059118883,0.6083984375,2.7626956999993126,True,True
9,12,0.001,False,1.0,0.21093950198691339,0.86669921875,68.14035139999942,True,True
9,12,0.005,False,1.0,0.35098836521765586,0.68798828125,84.39732519999961,True,True
9,12,0.01,False,0.9636143717652497,0.680664296525358,0.7392578125,56.40391930000078,True,False
9,12,0.02,False,1.0,0.5637082243137224,0.40185546875,65.97385189999841,True,True
10,11,0.0,True,1.0,0.38347012297661326,0.630859375,2.3869871999995667,True,True
10,11,0.001,False,1.0,0.4734323735063847,0.525390625,37.859393900000214,True,True
10,11,0.005,False,0.8265678881682962,0.3480249499694027,0.7275390625,33.34350540000014,True,False
10,11,0.01,False,1.0,0.44024403964489,0.68603515625,35.69352799999979,True,True
10,11,0.02,False,1.0,0.38598821883359596,0.47900390625,40.18031470000096,True,True
11,12,0.0,True,1.0,0.433380380474483,0.4580078125,3.3258299000008265,True,True
11,12,0.001,False,1.0,0.3258822233426974,0.5712890625,77.8357186000012,True,True
11,12,0.005,False,0.9984340973368039,0.5052407401511106,0.5693359375,79.15581290000046,True,False
11,12,0.01,False,1.0,0.22678214206495073,0.7998046875,66.1278295000011,True,True
11,12,0.02,False,1.0,0.4087381015001185,0.439453125,58.4302717999999,True,True
